date,headline,print_headline,abstract,snippet,lead_paragraph
2000-01-01,Computers Prevail in First Hours of '00,1/1/00: TECHNOLOGY AND 2000 -- MOMENTOUS RELIEF; Computers Prevail in First Hours of '00,"Despite a few sputters and glitches, the world's computers appear to have survived the year 2000 rollover without major problems -- and with humanity's faith in technology intact, at least for another day.     As clocks passed midnight around the world, there were a flurry of reports of apparently minor problems: a timing device at a electric plant in Wisconsin jumped ahead 35 days, but it was quickly reset; a monitoring system at a Japanese nuclear plant malfunctioned, but it did not affect the operation of the reactor; in Australia, ticketing machines on some buses jammed.   ",,"Despite a few sputters and glitches, the world's computers appear to have survived the year 2000 rollover without major problems -- and with humanity's faith in technology intact, at least for another day."
2000-01-02,At-Home Fathers Step Out To Find They Are Not Alone,At-Home Fathers Step Out To Find They Are Not Alone,"At-Home Dads Convention in Des Plaines, Ill, draws about 85 men from 20 states who by choice or economic necessity are normally home changing diapers while their wives act as breadwinners; stay-at-home fathers are growing in number and gaining acceptance, even approval, but they still suffer from isolation, which manifests itself in loneliness, depression, stir-craziness and weight gain; convention, as well as Web sites, newsletters and play groups catering to men whose wives work, seek to break down that isolation; photo (M)","At-Home Dads Convention in Des Plaines, Ill, draws about 85 men from 20 states who by choice or economic necessity are normally home changing diapers while their wives act as breadwinners; stay-at-home fathers are growing in number and gaining acc...","In a gray lecture hall in the Oakton Community College, a group of middle-aged men were shouting affirmations."
2000-01-03,ISRAEL AND SYRIA MEET TODAY IN U.S. ON TANGLED ISSUES,ISRAEL AND SYRIA MEET TODAY IN U.S. ON TANGLED ISSUES,"Having done little more than break the ice in their first encounter last month, Israeli and Syrian leaders enter knottier terrain on Monday as they resume American-brokered negotiations ambitiously aimed at reaching a peace accord by the summer.    The mere fact of their meeting was achievement enough when the Israelis and the Syrians revived their peace effort in December after a four-year stalemate. This time the two sides will be forced to tackle directly the tangle of issues that have bedeviled their previous efforts at peacemaking: borders, security and the opening of normal relations.  ",,"Having done little more than break the ice in their first encounter last month, Israeli and Syrian leaders enter knottier terrain on Monday as they resume American-brokered negotiations ambitiously aimed at reaching a peace accord by the summer."
2000-01-04,Parcells Resigns as Jets' Coach; Belichick Assumes the Top Role,PRO FOOTBALL; Parcells Resigns as Jets' Coach; Belichick Assumes the Top Role,"Irascible, bellicose and demanding, Bill Parcells helped transform three losing football franchises into winners, including both New York teams.    But today, less than 24 hours after he concluded his third season with the Jets, the 58-year-old Parcells said he could not put forth the 365-days-a-year effort it took to coach in the National Football League, and stepped down as the head coach of the Jets.  ",,"Irascible, bellicose and demanding, Bill Parcells helped transform three losing football franchises into winners, including both New York teams."
2000-01-05,STOCK PRICES DROP IN U.S. AND EUROPE,THE MARKETS: STOCKS; STOCK PRICES DROP IN U.S. AND EUROPE,"Stock prices fell sharply in the United States and Europe yesterday on concerns that interest rates will rise higher than had been anticipated. End-of-year tax moves and investing strategies were also cited as reasons.    The Dow Jones industrial average had its worst day since the autumn of 1998, when world markets were roiled by Asian economic problems and the collapse of the Russian ruble.  ",,Stock prices fell sharply in the United States and Europe yesterday on concerns that interest rates will rise higher than had been anticipated. End-of-year tax moves and investing strategies were also cited as reasons.
2000-01-06,Web Stock Adviser Is Accused of Fraud In Lawsuit by S.E.C.,Web Stock Adviser Is Accused of Fraud In Lawsuit by S.E.C.,"Revving up its pursuit of stock fraud on the Internet, the Securities and Exchange Commission yesterday filed a civil complaint contending that one of the Web's best-known stock pickers had committed four counts of fraud. According to the suit, he enriched himself at his customers' expense, lied about his past returns and secretly accepted payment in exchange for recommending one company's stock.    The case, against Yun Soo Oh Park, known to his stock trading disciples as Tokyo Joe, is the most aggressive regulatory action so far against a Web guru. Previous S.E.C. Internet cases have been against relatively minor players. This is the agency's first move against an Internet celebrity, and is significant because it raises First Amendment issues.  ",,"Revving up its pursuit of stock fraud on the Internet, the Securities and Exchange Commission yesterday filed a civil complaint contending that one of the Web's best-known stock pickers had committed four counts of fraud. According to the suit, he enriched himself at his customers' expense, lied about his past returns and secretly accepted payment in exchange for recommending one company's stock."
2000-01-07,Officers Riled by Policy on Gays Proposed in Gore-Bradley Debate,Officers Riled by Policy on Gays Proposed in Gore-Bradley Debate,"When Clinton administration officials interviewed Gen. Charles C. Krulak for the job of commandant of the Marine Corps in 1995, he recalled today, no one asked for his views on any social issue facing the military. And there were certainly many brewing at the time, including women in combat and the integration of the sexes in boot camp.    And so General Krulak said he was dismayed with the way the two Democratic candidates for president, Vice President Al Gore and former Senator Bill Bradley, had so strongly endorsed allowing homosexuals to serve openly in the military. Mr. Bradley said he would expect his appointees to the Joint Chiefs of Staff to carry out his policy.  ",,"When Clinton administration officials interviewed Gen. Charles C. Krulak for the job of commandant of the Marine Corps in 1995, he recalled today, no one asked for his views on any social issue facing the military. And there were certainly many brewing at the time, including women in combat and the integration of the sexes in boot camp."
2000-01-08,Growth in Jobs At End of Year Beats Estimates,Growth in Jobs At End of Year Beats Estimates,"Labor Department reports 315,000 new nonfarm jobs were created in Dec, 75,000 more than expected; reports unemployment rate remained at 4.1 percent; says unemployment averaged 4.2 percent in 1999, down from 4.5 percent in 1998 and lowest rate since 3.5 percent in 1969; average hourly earnings for Dec rose 0.4 percent; graphs; tables (M)","Labor Department reports 315,000 new nonfarm jobs were created in Dec, 75,000 more than expected; reports unemployment rate remained at 4.1 percent; says unemployment averaged 4.2 percent in 1999, down from 4.5 percent in 1998 and lowest rate sinc...","Employers added jobs at a surprisingly robust rate in December, propelling the economy into the new year with considerable momentum, the Labor Department reported today."
2000-01-09,Attica Siege Still Shadows Its Survivors,Attica Siege Still Shadows Its Survivors,"Former inmates at Attica who survived uprising and siege of 1971 in which 43 people were killed and more than 80 wounded ponder effect of Attica and how their lives have unfolded, or unraveled, in years since; most of them support federal judge's proposed settlement that would give up to 1,281 inmates total of $8 million as compensation for abuse they suffered at hands of state police in bloodiest incident in history of America's prisons; many would have preferred that state formally admit wrongdoing for troopers' actions in aggressively ending seige; some have reassembled their lives with astonishing success, but others have never successfully returned to society; photos (M)","Former inmates at Attica who survived uprising and siege of 1971 in which 43 people were killed and more than 80 wounded ponder effect of Attica and how their lives have unfolded, or unraveled, in years since; most of them support federal judge's ...","Robert Lavinski is a piano teacher in Rochester who is partial to Ravel, Chopin and Chick Corea. Arthur Bobby Harrison volunteers as a boxing coach in downtown Syracuse. George Alexander Shorts Jr. is a Brooklyn resident who has never been able to work because of his broken toes."
2000-01-10,"Defying Mayor, Board Picks Interim Schools Chief","Defying Mayor, Board Picks Interim Schools Chief","The New York City Board of Education defied Mayor Rudolph W. Giuliani yesterday by rejecting his candidate for interim schools chancellor and choosing Harold O. Levy, a banking executive and member of the State Board of Regents, for the job.    Mr. Levy's appointment is not yet assured, because he lacks formal credentials as a school administrator and must receive a waiver from Richard P. Mills, the state education commissioner. The board voted, 4 to 3, yesterday to request the waiver, and Mr. Mills said through a spokesman that he would decide quickly.  ",,"The New York City Board of Education defied Mayor Rudolph W. Giuliani yesterday by rejecting his candidate for interim schools chancellor and choosing Harold O. Levy, a banking executive and member of the State Board of Regents, for the job."
